RD,DATE,TIME,UCR DODE,OFFENSE,Motivation,CPD Area,DIST,BEAT,Community,Victims,Arrested,Adults,Juveniles,Disposition
JA115024,1/13/2017 0:00,1715,460,BATTERY: SIMPLE, ANTI-GAY (MALE),North,19,2023,EDGEWATER,1,0,,,UNDETERMINED
JA119042,1/15/2017 0:00,2000,460,BATTERY: SIMPLE, ANTI-GAY (MALE),North,19,1925,LAKE VIEW,1,0,,,UNDETERMINED
JA127118,1/24/2017 0:00,1300,520,ASSAULT: AGGRAVATED:KNIFE/CUTTING INSTR, ANTI-GAY (MALE),South,5,533,RIVERDALE,1,0,,,UNDETERMINED
JA129966,1/11/2017 0:00,1,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-BLACK/AFRICAN-AMERICAN,South,22,2212,BEVERLY,1,0,,,BONA FIDE
JA131630,1/26/2017 0:00,1700,1320,CRIMINAL DAMAGE: TO VEHICLE, ANTI-BLACK/AFRICAN-AMERICAN,North,20,2013,EDGEWATER,1,0,,,UNDETERMINED
JA131939,1/25/2017 0:00,1625,460,BATTERY: SIMPLE, ANTI-GAY (MALE),Central,1,123,LOOP,1,0,,,UNDETERMINED
JA132569,1/27/2017 0:00,2000,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-MULTIPLE RACES/GROUP,North,16,1623,JEFFERSON PARK,1,4,,4,BONA FIDE
JA136258,1/27/2017 0:00,1830,560,ASSAULT: SIMPLE, ANTI-WHITE,North,16,1622,JEFFERSON PARK,1,0,,,UNFOUNDED
JA141054,2/4/2017 0:00,20,1375,CRIMINAL DAMAGE: INSTITUTIONAL VANDALISM, ANTI-JEWISH,Central,1,122,LOOP,1,1,1,,BONA FIDE
JA141439,2/3/2017 0:00,1400,560,ASSAULT: SIMPLE, ANTI-ASIAN,North,16,1611,EDISON PARK,1,0,,,UNDETERMINED
JA152312,2/13/2017 0:00,528,2826,OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS, ANTI-JEWISH,Central,1,112,LOOP,1,0,,,UNDETERMINED
JA158883,2/18/2017 0:00,1720,5081,NON-CRIMINAL: OTHER NON-CRIMINAL PROPERTY, ANTI-ISLAMIC/MUSLIM,Central,12,1225,NEAR WEST SIDE,1,0,,,UNDETERMINED
JA160613,2/20/2017 0:00,1010,2850,PUBLIC PEACE VIOLATION: BOMB THREAT, ANTI-JEWISH,Central,2,234,HYDE PARK,1,0,,,UNDETERMINED
JA161682,2/21/2017 0:00,900,1320,CRIMINAL DAMAGE: TO VEHICLE, ANTI-JEWISH,North,17,1711,NORTH PARK,1,0,,,UNDETERMINED
JA162848,2/23/2017 0:00,500,5001,OTHER OFFENSE: OTHER CRIME INVOLVING PROPERTY, ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP),North,16,1622,JEFFERSON PARK,1,0,,,UNFOUNDED
JA162984,2/22/2017 0:00,906,2820,OTHER OFFENSE: TELEPHONE THREAT, ANTI-HISPANIC/LATINO,Central,18,1833,NEAR NORTH SIDE,1,0,,,BONA FIDE
JA165456,2/10/2017 0:00,1700,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-JEWISH,North,19,1932,LINCOLN PARK,1,0,,,UNDETERMINED
JA168152,2/25/2017 0:00,1100,560,ASSAULT: SIMPLE, ANTI-JEWISH,Central,18,1824,NEAR NORTH SIDE,2,0,,,UNDETERMINED
